duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,3.224000,0.000000,0.000000,-0.000000,-3.380075,4.838511,-2.747174,0.634739,2.306000,0.000000,0.000000,0.000000,2.864849,-4.576711,2.756784,-0.663696,2.000000,0.000000,0.000000,0.000000,1.178655,-1.973433,1.215669,-0.296968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,3.214890,-0.131764,-0.659461,-1.127717,0.439711,1.548689,-1.582567,0.569531,2.313354,0.104683,0.507126,0.775160,-0.634514,-1.307380,1.549109,-0.550784,2.002956,0.041738,0.198787,0.284554,-0.310851,-0.536885,0.676852,-0.239550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,3.125990,-0.623512,-1.179423,-0.136762,1.203377,-0.095399,-0.589802,0.290391,2.379921,0.446532,0.725748,-0.267673,-1.117660,0.309824,0.595500,-0.292159,2.028672,0.168128,0.246492,-0.183085,-0.478413,0.171017,0.263184,-0.128955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.898743,-1.168478,-0.874238,0.862379,0.689997,-0.609109,-0.099640,0.128048,2.528795,0.698405,0.183181,-1.045543,-0.331873,0.824431,0.108774,-0.214947,2.081604,0.231806,-0.030728,-0.489997,-0.088428,0.397800,0.049378,-0.108674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.567542,-1.413038,-0.067090,1.158052,-0.094776,-0.589188,0.106688,0.148924,2.698031,0.589586,-0.594646,-0.857543,0.683092,0.695496,-0.246138,-0.373652,2.130027,0.126914,-0.368566,-0.329227,0.395682,0.323442,-0.130883,-0.200788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.227273,-1.246000,0.683153,0.748735,-0.649798,-0.224476,0.360474,-0.148651,2.798128,0.185670,-0.895057,0.132230,1.117366,-0.179626,-0.905198,0.454139,2.135394,-0.089161,-0.428354,0.200254,0.567476,-0.144254,-0.486474,0.249255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.967491,-0.807174,0.984028,0.050964,-0.673743,0.131076,0.104232,0.009934,2.794666,-0.175266,-0.448664,0.916545,0.292568,-0.945695,-0.138909,0.386017,2.091432,-0.235566,-0.111292,0.559627,0.067402,-0.547817,-0.066767,0.233836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.825518,-0.344526,0.796389,-0.506926,-0.406747,0.306495,0.130354,0.105187,2.737338,-0.228085,0.200470,0.627421,-0.808674,-0.635531,0.516291,0.572050,2.034056,-0.192760,0.248990,0.295748,-0.552084,-0.332938,0.331624,0.361113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.779988,-0.059872,0.321349,-0.666997,0.156103,0.636717,0.335462,0.059350,2.699031,-0.069161,0.310464,-0.338910,-0.806226,0.897820,1.550445,0.727654,2.003670,-0.051260,0.238585,-0.311419,-0.459876,0.642789,0.986856,0.447338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
