duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,-3.743000,0.000000,0.000000,-0.000000,0.177473,-0.238515,0.130829,-0.029549,-3.837000,0.000000,0.000000,0.000000,1.850135,-2.127896,1.055728,-0.199521,2.273000,0.000000,0.000000,0.000000,-1.431059,1.848109,-0.990673,0.215709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.742510,0.007150,0.036344,0.065245,-0.014178,-0.081059,0.076324,-0.028093,-3.831605,0.079918,0.419084,0.822837,0.070897,-0.809157,0.679081,-0.233452,2.268986,-0.058781,-0.301504,-0.556085,0.068286,0.645869,-0.591011,0.214309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.737549,0.035485,0.071191,0.020415,-0.059312,-0.002569,0.027137,-0.014307,-3.772938,0.435949,0.971369,0.568306,-0.431581,-0.090600,0.268329,-0.134042,2.227524,-0.300013,-0.622278,-0.239522,0.438750,0.034157,-0.215366,0.112517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.724138,0.071286,0.065156,-0.033978,-0.044906,0.020023,0.002687,-0.003686,-3.596077,1.000791,1.234573,0.145627,-0.366576,0.141368,0.037898,-0.047596,2.111587,-0.629043,-0.642362,0.168658,0.341074,-0.146254,-0.022748,0.031890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.702930,0.095087,0.026043,-0.066034,-0.019374,0.019506,-0.003186,0.000970,-3.267731,1.625373,1.229660,-0.127259,-0.180365,0.138474,-0.041281,-0.004091,1.918000,-0.900219,-0.411497,0.415574,0.154369,-0.140851,0.028878,-0.005254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.678620,0.094880,-0.027866,-0.074080,0.002552,0.015964,-0.001013,0.000382,-2.787102,2.207525,1.085713,-0.234537,-0.048210,0.071945,-0.046309,0.008061,1.674192,-1.020990,-0.062352,0.490217,0.002505,-0.104484,0.016575,-0.006118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.657774,0.067523,-0.080026,-0.061814,0.021766,0.014621,0.000099,-0.004789,-2.171157,2.704540,0.900424,-0.251151,0.002715,0.013052,-0.031819,0.007893,1.422619,-0.962048,0.290770,0.431763,-0.115907,-0.085928,0.003270,0.021360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.646761,0.017559,-0.116032,-0.031534,0.037516,0.007936,-0.008031,-0.001236,-1.442654,3.107913,0.713416,-0.249144,-0.006485,-0.024207,-0.018732,-0.000104,1.206492,-0.744574,0.558330,0.266092,-0.208571,-0.049932,0.039095,0.015019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.649964,-0.043920,-0.124870,0.008264,0.039231,-0.006304,-0.010377,0.007144,-0.625033,3.416919,0.519244,-0.276626,-0.054363,-0.051616,-0.020469,0.013081,1.058548,-0.429273,0.674482,0.040584,-0.226122,0.031696,0.066291,-0.043718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.668474,-0.102525,-0.105407,0.041289,0.025530,-0.012875,0.001742,0.001046,0.257060,3.620170,0.282392,-0.367857,-0.130919,-0.063198,0.000475,0.044187,0.993180,-0.097622,0.628064,-0.150990,-0.148262,0.075972,-0.007958,-0.008370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
