duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,-4.609000,0.000000,0.000000,-0.000000,-0.719207,0.907528,-0.480220,0.102198,-5.329000,0.000000,0.000000,0.000000,1.709243,-1.985138,0.990689,-0.189865,2.307000,0.000000,0.000000,0.000000,0.391560,-0.473057,0.243404,-0.049309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-4.611034,-0.029864,-0.153943,-0.288098,0.020887,0.321843,-0.290345,0.104520,-5.324032,0.073536,0.384943,0.752164,0.052759,-0.750884,0.632901,-0.218330,2.308124,0.016575,0.086171,0.165221,0.001464,-0.173119,0.151205,-0.053455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-4.632292,-0.154786,-0.326766,-0.142503,0.208151,0.020438,-0.107030,0.056289,-5.270222,0.399005,0.884132,0.503552,-0.411901,-0.082035,0.248833,-0.123364,2.320105,0.088144,0.191349,0.098429,-0.102414,-0.014962,0.057322,-0.029783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-4.692828,-0.332010,-0.357509,0.052671,0.164141,-0.068654,-0.010537,0.017482,-5.108981,0.909388,1.106565,0.101274,-0.348628,0.134439,0.036884,-0.041161,2.355236,0.195866,0.227176,0.000505,-0.083665,0.033166,0.006174,-0.010016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-4.796779,-0.492003,-0.267439,0.173001,0.078006,-0.062695,0.018196,-0.001338,-4.812115,1.462642,1.074108,-0.157431,-0.168510,0.138284,-0.031041,-0.000626,2.418115,0.304986,0.201519,-0.061871,-0.041897,0.029916,-0.010466,0.000102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-4.933544,-0.589530,-0.117194,0.217326,0.015964,-0.037409,0.014746,-0.005357,-4.382313,1.962163,0.912619,-0.249300,-0.025099,0.091303,-0.029424,0.005792,2.505853,0.392050,0.143468,-0.088327,-0.014258,0.014572,-0.009858,0.003638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.084826,-0.607034,0.046696,0.213785,-0.019902,-0.022028,0.004710,-0.000699,-3.838645,2.371781,0.728893,-0.225737,0.064613,0.053822,-0.017663,-0.009293,2.611409,0.446564,0.073650,-0.096061,-0.003295,0.004613,-0.003358,0.004472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.230423,-0.545249,0.196391,0.181491,-0.043404,-0.015243,0.003025,-0.008583,-3.203371,2.698872,0.591004,-0.134276,0.110249,0.013531,-0.033497,0.004436,2.726143,0.465250,0.000984,-0.096911,0.001769,0.005415,0.004629,0.000260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.351810,-0.416031,0.313852,0.128332,-0.064316,-0.021001,-0.012632,0.006881,-2.493377,2.976163,0.531883,-0.025431,0.098186,-0.032332,-0.026676,-0.018511,2.841016,0.447815,-0.069913,-0.090275,0.013020,0.012502,0.005461,-0.002909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.434471,-0.239535,0.382103,0.047884,-0.098646,-0.029444,-0.001511,0.027142,-1.716147,3.242653,0.542634,0.041680,0.022638,-0.096923,-0.061938,-0.018255,2.947254,0.397017,-0.130523,-0.068133,0.032176,0.016394,0.000876,-0.012289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
