duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,-2.864000,0.000000,0.000000,0.000000,-0.037169,0.044249,-0.024548,0.004574,-3.840000,0.000000,0.000000,0.000000,2.670626,-3.196257,1.633423,-0.326075,2.290000,0.000000,0.000000,0.000000,1.847232,-2.483513,1.361882,-0.306752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-2.864108,-0.001595,-0.008369,-0.016560,-0.002371,0.013507,-0.016073,0.005520,-3.832310,0.113501,0.591091,1.138829,0.028316,-1.177410,1.022642,-0.358486,2.295104,0.074401,0.378170,0.678686,-0.148150,-0.843338,0.796004,-0.291486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-2.865288,-0.008853,-0.020396,-0.014757,0.002463,-0.003392,-0.006526,0.005012,-3.750009,0.606729,1.324429,0.701828,-0.680766,-0.103940,0.392925,-0.201289,2.346719,0.369175,0.740520,0.212350,-0.615475,-0.022816,0.285773,-0.148493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-2.869002,-0.021760,-0.031349,-0.015768,-0.005154,-0.006527,0.002045,0.006210,-3.507261,1.357917,1.598167,0.051368,-0.552405,0.229409,0.047400,-0.070876,2.486247,0.741759,0.679113,-0.348383,-0.457289,0.217705,0.032302,-0.040416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-2.876673,-0.040818,-0.045880,-0.023512,-0.007998,0.004796,0.013053,-0.003720,-3.069020,2.136744,1.466710,-0.352534,-0.259966,0.211431,-0.070351,0.001783,2.707120,0.991785,0.281423,-0.665038,-0.176978,0.215784,-0.032011,0.007139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-2.890136,-0.068503,-0.065076,-0.024942,0.008200,0.019366,0.007127,-0.005765,-2.449499,2.791471,1.133773,-0.502097,-0.060657,0.109207,-0.063999,0.017160,2.961776,1.000780,-0.251735,-0.716178,0.066647,0.176162,-0.014256,-0.008440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-2.911667,-0.104795,-0.077382,-0.003199,0.035937,0.021956,-0.002287,-0.014272,-1.688761,3.262211,0.748119,-0.512154,0.025237,0.035386,-0.032919,0.011660,3.185476,0.748138,-0.737359,-0.545038,0.268869,0.139711,-0.024743,-0.071972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-2.942591,-0.141449,-0.063302,0.043793,0.053432,-0.000968,-0.027280,0.010419,-0.834327,3.542337,0.377306,-0.473494,0.044984,0.000653,-0.012489,0.003035,3.319085,0.296529,-1.026408,-0.206423,0.380951,0.002668,-0.150536,0.083362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-2.981024,-0.161710,-0.011956,0.089520,0.032345,-0.028687,-0.009905,0.003864,0.067614,3.644966,0.038487,-0.431590,0.035752,-0.014619,-0.007610,0.008111,3.327300,-0.232258,-1.045062,0.140551,0.288747,-0.118024,-0.008178,0.029156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.020704,-0.149493,0.062330,0.101368,-0.010687,-0.038310,-0.004289,0.006457,0.974641,3.585205,-0.274362,-0.406244,0.014779,-0.015615,0.006116,0.004504,3.207128,-0.712692,-0.849691,0.356964,0.149496,-0.094287,0.040062,-0.006968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.052677,-0.100752,0.128243,0.066280,-0.059064,-0.035393,0.005926,0.020407,1.847491,3.372515,-0.575492,-0.398697,0.003457,-0.000595,0.013980,0.003471,2.981928,-1.062882,-0.538435,0.459097,0.065384,-0.044340,0.026572,-0.022908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.069077,-0.028516,0.151040,-0.010263,-0.086590,0.001515,0.041664,-0.018730,2.648439,3.010306,-0.872421,-0.390768,0.017718,0.024653,0.020786,0.018104,2.689946,-1.242682,-0.175435,0.501940,0.022342,-0.034864,-0.014539,-0.012852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.067254,0.039909,0.113165,-0.085447,-0.055879,0.040253,0.010090,-0.005582,3.340483,2.502568,-1.153411,-0.348672,0.077921,0.078383,0.054813,-0.001204,2.376203,-1.235677,0.202836,0.496191,-0.041897,-0.072884,-0.039209,-0.002340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
