duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,-1.100000,0.000000,0.000000,0.000000,0.284447,-0.341659,0.174992,-0.035147,-4.150000,0.000000,0.000000,0.000000,1.655498,-1.920254,0.958796,-0.183622,2.500000,0.000000,0.000000,0.000000,-0.016688,0.023268,-0.013093,0.003053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.099182,0.012070,0.062816,0.120789,0.002207,-0.125643,0.109201,-0.038414,-4.145186,0.071268,0.373186,0.729859,0.053634,-0.725600,0.612791,-0.211782,2.499955,-0.000660,-0.003327,-0.005819,0.001792,0.007630,-0.007485,0.002815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.090441,0.064384,0.140214,0.073343,-0.073479,-0.011179,0.041720,-0.021439,-4.093003,0.387118,0.858881,0.492536,-0.394693,-0.078575,0.240272,-0.120803,2.499503,-0.003193,-0.006208,-0.001213,0.005852,0.000010,-0.002565,0.001453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.064724,0.143640,0.167925,0.002984,-0.060064,0.024150,0.004911,-0.007255,-3.936415,0.883907,1.079596,0.107302,-0.333721,0.128201,0.032622,-0.042077,2.498321,-0.006170,-0.005042,0.004043,0.004254,-0.001993,-0.000081,0.000444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.018483,0.224897,0.151552,-0.041443,-0.029239,0.022438,-0.007118,-0.000196,-3.647460,1.425590,1.056007,-0.141852,-0.165898,0.124417,-0.037317,-0.002073,2.496541,-0.007706,-0.000721,0.007087,0.001930,-0.001560,0.000650,-0.000025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-0.953528,0.291471,0.112590,-0.058909,-0.007972,0.011628,-0.007117,0.001806,-3.227814,1.918835,0.904617,-0.241934,-0.046494,0.066450,-0.038978,0.009563,2.494686,-0.006644,0.005112,0.008242,0.000576,-0.000626,0.000589,-0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-0.874565,0.336411,0.066855,-0.061591,0.000878,0.003313,-0.003859,0.001655,-2.695472,2.323961,0.714026,-0.257770,0.005256,0.020477,-0.021638,0.008639,2.493475,-0.002516,0.011442,0.008588,0.000252,0.000029,0.000292,-0.000235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-0.787241,0.358390,0.021317,-0.059622,0.002307,-0.000337,-0.000974,0.001121,-2.073847,2.633259,0.524779,-0.245297,0.015291,-0.000863,-0.006547,0.005103,2.493697,0.004833,0.017994,0.008917,0.000434,0.000153,-0.000114,-0.000336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-0.697234,0.358003,-0.022621,-0.057676,0.001586,-0.000350,0.000978,0.000730,-1.386509,2.850565,0.346127,-0.231893,0.010866,-0.004149,0.002260,0.002487,2.496171,0.015531,0.024856,0.009366,0.000335,-0.000464,-0.000716,-0.000405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-0.610042,0.335978,-0.065266,-0.055903,0.002464,0.002036,0.002316,0.000111,-0.655819,2.980764,0.175817,-0.222573,0.009159,0.002363,0.006684,0.000213,2.501754,0.029722,0.031883,0.009132,-0.001137,-0.002051,-0.001486,-0.000113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
