duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,1.000000,0.000000,0.000000,0.000000,1.418862,-1.762387,0.920758,-0.191050,9.000000,0.000000,0.000000,0.000000,-2.223209,2.703429,-1.394065,0.283473,1.000000,0.000000,0.000000,0.000000,0.729606,-0.925178,0.489995,-0.104262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.004034,0.059326,0.306733,0.578987,-0.025391,-0.633219,0.564758,-0.199182,8.993633,-0.093833,-0.487163,-0.930455,0.004166,0.986773,-0.864298,0.304191,1.002060,0.030223,0.155616,0.290239,-0.024514,-0.327500,0.296311,-0.105869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.046492,0.310266,0.661517,0.307089,-0.396382,-0.041669,0.215345,-0.107491,8.925976,-0.496886,-1.073662,-0.538061,0.593706,0.080832,-0.330169,0.166945,1.023527,0.156078,0.328122,0.139161,-0.213994,-0.018831,0.110688,-0.056295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.168658,0.674095,0.747093,-0.062737,-0.305367,0.144769,0.031489,-0.035472,8.728571,-1.097567,-1.257860,0.025812,0.476510,-0.202338,-0.043951,0.054488,1.084398,0.333041,0.354633,-0.059709,-0.164550,0.075742,0.014394,-0.017448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.381849,1.019744,0.609265,-0.272633,-0.114284,0.147175,-0.026205,-0.007888,8.377623,-1.695992,-1.092883,0.369576,0.212182,-0.199956,0.045461,0.003346,1.188323,0.490412,0.260466,-0.174807,-0.065919,0.075429,-0.013896,-0.001559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.670295,1.268823,0.383233,-0.304200,0.040804,0.096938,-0.037093,-0.017031,7.891739,-2.163510,-0.764643,0.471450,0.006687,-0.127517,0.047513,0.001033,1.324287,0.585138,0.115580,-0.198139,0.014487,0.052337,-0.015057,-0.004771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.006943,1.407599,0.183009,-0.216730,0.117888,0.017274,-0.066363,0.034197,7.310351,-2.459227,-0.425667,0.413428,-0.107602,-0.053341,0.047701,-0.002879,1.474803,0.607608,-0.020394,-0.156299,0.063183,0.022575,-0.022714,0.001131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.367358,1.465841,0.064181,-0.104109,0.095966,-0.038814,-0.007681,0.011485,6.674939,-2.602035,-0.161545,0.287002,-0.131132,0.016331,0.043136,-0.027092,1.623251,0.572363,-0.111705,-0.085950,0.070726,-0.011038,-0.021057,0.013890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.736539,1.483626,0.015807,-0.033232,0.046530,-0.035963,0.011354,0.000258,6.018331,-2.636665,0.009055,0.175853,-0.085094,0.046750,-0.002881,-0.006812,1.758279,0.504500,-0.152319,-0.026805,0.044783,-0.025064,0.002504,0.003203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,3.108063,1.487571,0.003383,-0.005596,0.012361,-0.018788,0.011249,-0.002850,5.362190,-2.603598,0.116031,0.118146,-0.033083,0.033993,-0.013795,0.001257,1.874616,0.425644,-0.159333,0.003534,0.017553,-0.017372,0.007595,-0.001082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
